ts,len,hex
1757635240.300190,64,0D 80 78 F8 00 F8 80 80 80 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.316135,64,08 80 80 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.919832,64,01 00 80 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.924818,64,02 F8 00 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.937446,64,08 F8 80 80 80 F8 80 F8 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.951831,64,08 F8 80 80 80 80 80 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635240.965264,64,08 80 80 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635241.602856,64,01 00 80 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635241.606823,64,02 F8 00 80 80 78 00 80 78 80 80 80 80 78 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635241.634853,64,10 F8 80 80 80 F8 80 F8 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635241.648263,64,08 80 80 80 80 78 00 80 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635244.965959,64,01 00 80 80 80 78 00 80 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635244.969282,64,02 F8 00 80 80 78 00 80 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635244.978933,64,04 F8 00 F8 00 78 00 80 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635244.982918,64,02 F8 00 F8 00 78 00 80 78 F8 80 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.001373,64,0A F8 F8 80 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.007944,64,03 80 78 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.011941,64,02 80 78 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.619406,64,03 00 F8 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.623449,64,02 F8 00 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.629265,64,02 F8 00 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.633302,64,02 F8 00 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635245.636265,64,01 F8 00 00 F8 80 80 80 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635246.647003,64,07 F8 80 F8 80 80 80 78 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635246.651991,64,02 80 78 F8 80 80 80 78 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635246.658004,64,03 80 78 00 80 80 80 78 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635246.661979,64,02 80 78 00 80 80 80 78 78 80 78 80 80 80 80 80 78 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
